season,event_code,league,zone_name,group_name,group_order,college_name,team_name,w_d_l,wins,opponent_points,avg_base_hp_diff,avg_outpost_hp_diff,avg_team_damage
2025,2025RMUC,RMUC,南部赛区,A组,1,中国石油大学（华东）,RPS,3/0/0,3,4,3212,113,8456
2025,2025RMUC,RMUC,南部赛区,A组,2,广东工业大学,DynamicX,3/0/0,3,-2,3650,156,7549
2025,2025RMUC,RMUC,南部赛区,A组,3,华南理工大学,华南虎,3/0/1,3,6,1922,138,7423
2025,2025RMUC,RMUC,南部赛区,A组,4,北方工业大学,DreamTeam,3/0/1,3,-2,-365,260,4121
2025,2025RMUC,RMUC,南部赛区,A组,5,华北科技学院,风暴,3/0/1,3,-3,620,99,5928
2025,2025RMUC,RMUC,南部赛区,A组,6,桂林信息科技学院,GIRT,3/0/2,3,9,828,0,6529
2025,2025RMUC,RMUC,南部赛区,A组,8,厦门大学嘉庚学院,TCR,3/0/2,3,-6,-229,-4,3393
2025,2025RMUC,RMUC,南部赛区,A组,9,广州城市理工学院,野狼,2/0/3,2,4,-1585,-59,3770
2025,2025RMUC,RMUC,南部赛区,A组,10,桂林电子科技大学,Evolution,2/0/3,2,0,-883,88,4059
2025,2025RMUC,RMUC,南部赛区,A组,11,仲恺农业工程学院,奇点,2/0/3,2,-1,-1104,113,4255
2025,2025RMUC,RMUC,南部赛区,A组,12,桂林理工大学,群星,1/0/3,1,1,-1285,-309,2658
2025,2025RMUC,RMUC,南部赛区,A组,14,深圳技术大学,悍匠,1/0/3,1,-12,-1234,0,3335
2025,2025RMUC,RMUC,南部赛区,A组,16,北京信息科技大学,星辰,0/0/3,0,-4,-296,-24,2279
2025,2025RMUC,RMUC,南部赛区,B组,1,太原理工大学,TRoMaC,3/0/0,3,11,2354,142,7226
2025,2025RMUC,RMUC,南部赛区,B组,2,哈尔滨工业大学（深圳）,南工骁鹰,3/0/0,3,-9,2317,417,5880
2025,2025RMUC,RMUC,南部赛区,B组,3,华南农业大学,Taurus,3/0/1,3,9,2584,105,8364
2025,2025RMUC,RMUC,南部赛区,B组,4,南方科技大学,ARTINX,3/0/1,3,6,1040,29,6277
2025,2025RMUC,RMUC,南部赛区,B组,5,深圳大学,RobotPilots,3/0/1,3,1,2231,0,7583
2025,2025RMUC,RMUC,南部赛区,B组,6,五邑大学,IMCA,3/0/2,3,1,1157,37,6265
2025,2025RMUC,RMUC,南部赛区,B组,7,电子科技大学中山学院,RoboBraver,3/0/2,3,-2,1627,150,6487
2025,2025RMUC,RMUC,南部赛区,B组,8,北京理工大学（珠海）,毅恒,3/0/2,3,-10,-891,-18,3470
2025,2025RMUC,RMUC,南部赛区,B组,9,东莞理工学院,ACE,2/0/3,2,11,-2029,72,4158
2025,2025RMUC,RMUC,南部赛区,B组,10,东北大学秦皇岛分校,征龙凌沧,2/0/3,2,-2,-971,0,4266
2025,2025RMUC,RMUC,南部赛区,B组,11,福建理工大学,苍侠,2/0/3,2,-4,-737,108,4394
2025,2025RMUC,RMUC,南部赛区,B组,12,广西大学,ROBOTZ,1/0/3,1,5,-2047,-302,2770
2025,2025RMUC,RMUC,南部赛区,B组,13,香港科技大学（广州）,PnX,1/0/3,1,-1,-1625,-43,3066
2025,2025RMUC,RMUC,南部赛区,B组,14,成都信息工程大学,风信子,1/0/3,1,-1,-2247,-56,2579
2025,2025RMUC,RMUC,南部赛区,B组,15,华北理工大学,Horizon,0/0/3,0,-3,-1557,-290,2080
2025,2025RMUC,RMUC,中部赛区,A组,1,浙江大学,Hello World,3/0/0,3,-2,3402,832,7754
2025,2025RMUC,RMUC,中部赛区,A组,2,哈尔滨工程大学,创梦之翼,3/0/0,3,-2,2500,111,6431
2025,2025RMUC,RMUC,中部赛区,A组,3,武汉工程大学,Nautilus,3/0/1,3,11,1366,150,6969
2025,2025RMUC,RMUC,中部赛区,A组,4,哈尔滨工业大学, I Hiter,3/0/1,3,-3,1344,212,6759
2025,2025RMUC,RMUC,中部赛区,A组,6,西安交通大学,笃行,3/0/2,3,4,1117,268,6977
2025,2025RMUC,RMUC,中部赛区,A组,7,沈阳理工大学,Ambition,3/0/2,3,-3,-388,-44,3843
2025,2025RMUC,RMUC,中部赛区,A组,9,合肥工业大学（宣城校区）,WDR,2/0/3,2,6,-886,110,4963
2025,2025RMUC,RMUC,中部赛区,A组,10,合肥工业大学,苍穹,2/0/3,2,3,-2080,252,3052
2025,2025RMUC,RMUC,中部赛区,A组,11,成都大学,Ultra,2/0/3,2,-3,-173,-233,4248
2025,2025RMUC,RMUC,中部赛区,A组,12,国防科技大学,军临,1/0/3,1,5,-639,-512,4044
2025,2025RMUC,RMUC,中部赛区,A组,13,南华大学,MA,1/0/3,1,5,-1281,-210,3083
2025,2025RMUC,RMUC,中部赛区,A组,15,长沙理工大学,云嵌,0/0/3,0,5,-2404,-1108,924
2025,2025RMUC,RMUC,中部赛区,A组,16,湘潭大学,逐曦,0/0/3,0,-8,-986,-210,2376
2025,2025RMUC,RMUC,中部赛区,B组,1,上海交通大学,交龙,3/0/0,3,9,1683,284,7856
2025,2025RMUC,RMUC,中部赛区,B组,2,南京航空航天大学金城学院,Born of Fire,3/0/0,3,-5,3486,199,7768
2025,2025RMUC,RMUC,中部赛区,B组,3,中国科学技术大学,RoboWalker,3/0/1,3,7,1139,0,8082
2025,2025RMUC,RMUC,中部赛区,B组,4,西北工业大学,WMJ,3/0/1,3,1,2098,156,6793
2025,2025RMUC,RMUC,中部赛区,B组,5,南昌大学,Passion,3/0/1,3,0,2227,0,7026
2025,2025RMUC,RMUC,中部赛区,B组,6,中南大学,FYT,3/0/2,3,6,-529,58,6114
2025,2025RMUC,RMUC,中部赛区,B组,7,华东理工大学,起源,3/0/2,3,-1,1162,148,6555
2025,2025RMUC,RMUC,中部赛区,B组,8,四川大学,火锅,3/0/2,3,-10,420,228,5676
2025,2025RMUC,RMUC,中部赛区,B组,9,西安电子科技大学,IRobot,2/0/3,2,6,473,0,6735
2025,2025RMUC,RMUC,中部赛区,B组,10,安徽信息工程学院,Artisans,2/0/3,2,-2,-1165,51,5149
2025,2025RMUC,RMUC,中部赛区,B组,11,西南交通大学,Helios,2/0/3,2,-5,-892,39,5520
2025,2025RMUC,RMUC,中部赛区,B组,12,河北科技大学,Actor&Thinker,1/0/3,1,10,-2087,0,4738
2025,2025RMUC,RMUC,中部赛区,B组,13,长安大学,VGD,1/0/3,1,-5,-1604,-140,3604
2025,2025RMUC,RMUC,中部赛区,B组,15,重庆理工大学,士继DREAMER,0/0/3,0,7,-3320,-978,1466
2025,2025RMUC,RMUC,东部赛区,A组,1,山东科技大学,SmartRobot,3/0/0,3,9,2696,0,8213
2025,2025RMUC,RMUC,东部赛区,A组,2,东北大学,TDT,3/0/0,3,0,1424,249,5875
2025,2025RMUC,RMUC,东部赛区,A组,3,吉林大学,TARS_Go,3/0/1,3,3,1333,60,7203
2025,2025RMUC,RMUC,东部赛区,A组,4,华中科技大学,狼牙,3/0/1,3,-3,1450,54,6457
2025,2025RMUC,RMUC,东部赛区,A组,5,东南大学,3SE,3/0/1,3,-9,3407,221,7627
2025,2025RMUC,RMUC,东部赛区,A组,6,大连理工大学,凌BUG,3/0/2,3,3,802,0,6264
2025,2025RMUC,RMUC,东部赛区,A组,7,中国石油大学（北京）,SPR,3/0/2,3,-1,384,92,5269
2025,2025RMUC,RMUC,东部赛区,A组,9,齐鲁工业大学,Adam,2/0/3,2,10,-1378,0,4272
2025,2025RMUC,RMUC,东部赛区,A组,11,中北大学,606,2/0/3,2,-5,-820,-359,3714
2025,2025RMUC,RMUC,东部赛区,A组,12,北京理工大学,追梦,1/0/3,1,9,-1729,-231,4092
2025,2025RMUC,RMUC,东部赛区,A组,14,山东理工大学,齐奇,1/0/3,1,-3,-530,183,3900
2025,2025RMUC,RMUC,东部赛区,B组,1,太原工业学院,火线,3/0/0,3,11,2034,369,8155
2025,2025RMUC,RMUC,东部赛区,B组,2,首都师范大学,PIE,3/0/0,3,-4,491,315,4379
2025,2025RMUC,RMUC,东部赛区,B组,3,同济大学,SuperPower,3/0/1,3,7,2162,259,8297
2025,2025RMUC,RMUC,东部赛区,B组,4,哈尔滨工业大学（威海）,HERO,3/0/1,3,2,1568,35,7808
2025,2025RMUC,RMUC,东部赛区,B组,5,中国矿业大学,CUBOT,3/0/1,3,-3,2875,528,7353
2025,2025RMUC,RMUC,东部赛区,B组,7,天津大学,北洋机甲,3/0/2,3,-4,887,-1,5710
2025,2025RMUC,RMUC,东部赛区,B组,8,南京理工大学,Alliance,3/0/2,3,-9,1389,520,5288
2025,2025RMUC,RMUC,东部赛区,B组,11,上海工程技术大学,木鸢Birdiebot,2/0/3,2,-1,-1081,200,5122
2025,2025RMUC,RMUC,东部赛区,B组,14,江苏大学,Aurora,1/0/3,1,-9,-1285,-346,2407
2025,2025RMUC,RMUC,东部赛区,B组,15,青岛大学,未来,0/0/3,0,1,-2829,-724,2028
2025,2025RMUC,RMUC,复活赛第一赛段,A组,1,西安交通大学,笃行,3/0/0,3,-1,3457,131,8923
2025,2025RMUC,RMUC,复活赛第一赛段,A组,2,四川大学,火锅,2/0/1,2,7,145,0,5264
2025,2025RMUC,RMUC,复活赛第一赛段,A组,3,武汉工程大学,Nautilus,2/0/1,2,2,1338,-131,7243
2025,2025RMUC,RMUC,复活赛第一赛段,A组,4,华东理工大学,起源,2/0/1,2,-5,1103,0,7458
2025,2025RMUC,RMUC,复活赛第一赛段,A组,5,首都师范大学,PIE,1/0/2,1,1,-1242,0,5776
2025,2025RMUC,RMUC,复活赛第一赛段,A组,7,桂林信息科技学院,GIRT,0/0/2,0,4,-3913,0,4883
2025,2025RMUC,RMUC,复活赛第一赛段,A组,8,华中科技大学,狼牙,0/0/2,0,1,-2011,0,4969
2025,2025RMUC,RMUC,复活赛第一赛段,B组,1,东南大学,3SE,3/0/0,3,0,3136,303,8320
2025,2025RMUC,RMUC,复活赛第一赛段,B组,2,南昌大学,Passion,2/0/1,2,7,399,-94,6802
2025,2025RMUC,RMUC,复活赛第一赛段,B组,3,大连理工大学,凌BUG,2/0/1,2,1,107,-61,6253
2025,2025RMUC,RMUC,复活赛第一赛段,B组,4,哈尔滨工业大学（深圳）,南工骁鹰,2/0/1,2,-4,923,104,7329
2025,2025RMUC,RMUC,复活赛第一赛段,B组,5,华北科技学院,风暴,1/0/2,1,4,-355,0,6059
2025,2025RMUC,RMUC,复活赛第一赛段,B组,6,天津大学,北洋机甲,1/0/2,1,-1,402,233,5789
2025,2025RMUC,RMUC,复活赛第一赛段,B组,7,厦门大学嘉庚学院,TCR,0/0/2,0,1,-4502,-798,2217
2025,2025RMUC,RMUC,复活赛第一赛段,B组,8,北京理工大学（珠海）,毅恒,0/0/2,0,-1,-2483,0,5480
2025,2025RMUC,RMUC,复活赛第二赛段,C组,1,大连理工大学,凌BUG,3/0/0,3,1,2414,215,8415
2025,2025RMUC,RMUC,复活赛第二赛段,C组,2,武汉工程大学,Nautilus,2/0/1,2,6,930,-171,6521
2025,2025RMUC,RMUC,复活赛第二赛段,C组,3,哈尔滨工业大学（深圳）,南工骁鹰,2/0/1,2,-1,1560,431,7554
2025,2025RMUC,RMUC,复活赛第二赛段,C组,4,华东理工大学,起源,2/0/1,2,-4,1019,0,8156
2025,2025RMUC,RMUC,复活赛第二赛段,C组,5,四川大学,火锅,1/0/2,1,5,-505,447,5851
2025,2025RMUC,RMUC,复活赛第二赛段,C组,6,香港科技大学,ENTERPRIZE,1/0/2,1,2,-1195,-12,6292
2025,2025RMUC,RMUC,复活赛第二赛段,C组,8,南昌大学,Passion,0/0/2,0,-2,-2811,-18,4404
2025,2025RMUC,RMUC,2025赛季全国赛,A组,1,中国石油大学（华东）,RPS,3/0/0,3,5,1076,134,8647
2025,2025RMUC,RMUC,2025赛季全国赛,A组,2,东北大学,TDT,3/0/0,3,-6,4608,552,8986
2025,2025RMUC,RMUC,2025赛季全国赛,A组,3,中国科学技术大学,RoboWalker,3/0/1,3,3,1603,150,8838
2025,2025RMUC,RMUC,2025赛季全国赛,A组,4,哈尔滨工业大学, I Hiter,3/0/1,3,1,-21,-129,7073
2025,2025RMUC,RMUC,2025赛季全国赛,A组,5,华南理工大学,华南虎,3/0/1,3,-4,2575,163,8757
2025,2025RMUC,RMUC,2025赛季全国赛,A组,6,大连理工大学,凌BUG,3/0/2,3,11,382,-36,7398
2025,2025RMUC,RMUC,2025赛季全国赛,A组,7,东南大学,3SE,3/0/2,3,5,1098,0,7481
2025,2025RMUC,RMUC,2025赛季全国赛,A组,8,深圳大学,RobotPilots,3/0/2,3,0,240,-291,5970
2025,2025RMUC,RMUC,2025赛季全国赛,A组,9,西安交通大学,笃行,2/0/3,2,-1,404,72,7873
2025,2025RMUC,RMUC,2025赛季全国赛,A组,10,南京航空航天大学金城学院,Born of Fire,2/0/3,2,-2,-2181,-93,5019
2025,2025RMUC,RMUC,2025赛季全国赛,A组,11,电子科技大学中山学院,RoboBraver,2/0/3,2,-3,-215,-29,6809
2025,2025RMUC,RMUC,2025赛季全国赛,A组,12,武汉工程大学,Nautilus,1/0/3,1,4,-582,-13,6536
2025,2025RMUC,RMUC,2025赛季全国赛,A组,13,五邑大学,IMCA,1/0/3,1,-4,-1158,0,5873
2025,2025RMUC,RMUC,2025赛季全国赛,A组,14,西北工业大学,WMJ,1/0/3,1,-12,-1012,-109,5649
2025,2025RMUC,RMUC,2025赛季全国赛,A组,15,中国矿业大学,CUBOT,0/0/3,0,7,-3435,0,4928
2025,2025RMUC,RMUC,2025赛季全国赛,B组,1,上海交通大学,交龙,3/0/0,3,5,3647,161,9923
2025,2025RMUC,RMUC,2025赛季全国赛,B组,2,同济大学,SuperPower,3/0/0,3,2,1772,162,8050
2025,2025RMUC,RMUC,2025赛季全国赛,B组,3,广东工业大学,DynamicX,3/0/1,3,14,-468,0,7215
2025,2025RMUC,RMUC,2025赛季全国赛,B组,4,太原工业学院,火线,3/0/1,3,-1,2416,0,8037
2025,2025RMUC,RMUC,2025赛季全国赛,B组,5,浙江大学,Hello World,3/0/1,3,-4,2642,126,8365
2025,2025RMUC,RMUC,2025赛季全国赛,B组,7,太原理工大学,TRoMaC,3/0/2,3,-1,790,0,7144
2025,2025RMUC,RMUC,2025赛季全国赛,B组,8,华南农业大学,Taurus,3/0/2,3,-3,942,-133,6811
2025,2025RMUC,RMUC,2025赛季全国赛,B组,9,南方科技大学,ARTINX,2/0/3,2,3,-1109,0,6184
2025,2025RMUC,RMUC,2025赛季全国赛,B组,10,山东科技大学,SmartRobot,2/0/3,2,-3,-827,-185,6047
2025,2025RMUC,RMUC,2025赛季全国赛,B组,11,哈尔滨工业大学（威海）,HERO,2/0/3,2,-15,-233,19,7122
2025,2025RMUC,RMUC,2025赛季全国赛,B组,12,哈尔滨工程大学,创梦之翼,1/0/3,1,5,-2478,0,5413
2025,2025RMUC,RMUC,2025赛季全国赛,B组,13,中南大学,FYT,1/0/3,1,3,-1181,0,6413
2025,2025RMUC,RMUC,2025赛季全国赛,B组,14,北方工业大学,DreamTeam,1/0/3,1,-5,-694,-28,6156
2025,2025RMUC,RMUC,2025赛季全国赛,B组,15,吉林大学,TARS_Go,0/0/3,0,3,-4437,-268,3720
2025,2025RMUC,RMUC,2025赛季全国赛,B组,16,中国石油大学（北京）,SPR,0/0/3,0,2,-2294,0,5119
