season,event_code,league,zone_id,zone_name,group_name,group_order,college_name,college_logo,team_name,rank,w_d_l,points,total_victory_point_diff,total_team_damage,total_robot_hp_remaining,metrics_json
2026,2026RMUL,RMUL,581,安徽站,A组,1,合肥工业大学（宣城校区）,https://rm-static.djicdn.com/games-backend/6b928c7e-4ab6-48ab-8a5a-39836fd182c7,WDR,1,3/0/0,9,1193,11840,5702,"{""全队总伤害血量"": 11840, ""全队机器人总剩余血量"": 5702, ""总净胜胜利点"": 1193, ""排名"": 1, ""积分"": 9, ""胜/平/负"": ""3/0/0""}"
2026,2026RMUL,RMUL,581,安徽站,A组,2,武汉华夏理工学院,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/e2f749d3-2ddd-4cb4-ac73-a47be023fb2e,京喜,2,2/0/1,6,249,4176,3426,"{""全队总伤害血量"": 4176, ""全队机器人总剩余血量"": 3426, ""总净胜胜利点"": 249, ""排名"": 2, ""积分"": 6, ""胜/平/负"": ""2/0/1""}"
2026,2026RMUL,RMUL,581,安徽站,A组,3,南京航空航天大学（天目湖校区）,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/623e992f-f617-4e90-ad03-3b95a861ab85,巡天御风,3,1/0/2,3,-400,68,3586,"{""全队总伤害血量"": 68, ""全队机器人总剩余血量"": 3586, ""总净胜胜利点"": -400, ""排名"": 3, ""积分"": 3, ""胜/平/负"": ""1/0/2""}"
2026,2026RMUL,RMUL,581,安徽站,A组,4,广东以色列理工学院,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/bb951d31-0df1-4da6-a4b7-8939c60910ac,工夫,4,0/0/3,0,-1042,1671,2820,"{""全队总伤害血量"": 1671, ""全队机器人总剩余血量"": 2820, ""总净胜胜利点"": -1042, ""排名"": 4, ""积分"": 0, ""胜/平/负"": ""0/0/3""}"
2026,2026RMUL,RMUL,581,安徽站,B组,1,湖北第二师范学院,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/ed5b9c10-06f5-4774-98ef-725b9ed40fe8,潜云DGE,1,2/0/0,6,749,5378,3554,"{""全队总伤害血量"": 5378, ""全队机器人总剩余血量"": 3554, ""总净胜胜利点"": 749, ""排名"": 1, ""积分"": 6, ""胜/平/负"": ""2/0/0""}"
2026,2026RMUL,RMUL,581,安徽站,B组,2,常州大学,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/e8a579bb-264e-4eee-88b7-ccc1a64b4729,Climber,2,1/0/1,3,51,3238,2624,"{""全队总伤害血量"": 3238, ""全队机器人总剩余血量"": 2624, ""总净胜胜利点"": 51, ""排名"": 2, ""积分"": 3, ""胜/平/负"": ""1/0/1""}"
2026,2026RMUL,RMUL,581,安徽站,B组,3,湖北科技学院,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/8ae0f7b4-daab-41ea-b4b8-6382749defc0,机械之心,3,0/0/2,0,-800,1040,2876,"{""全队总伤害血量"": 1040, ""全队机器人总剩余血量"": 2876, ""总净胜胜利点"": -800, ""排名"": 3, ""积分"": 0, ""胜/平/负"": ""0/0/2""}"
2026,2026RMUL,RMUL,581,安徽站,C组,1,中国科学技术大学,https://hz-rm-bbs-web-prod.oss-cn-hangzhou.aliyuncs.com/096f1b222fd545e2ac0de6ece5f2abf11772631439377/中国科学技术大学校徽.png,RoboWalker,1,2/0/0,6,612,14710,2866,"{""全队总伤害血量"": 14710, ""全队机器人总剩余血量"": 2866, ""总净胜胜利点"": 612, ""排名"": 1, ""积分"": 6, ""胜/平/负"": ""2/0/0""}"
2026,2026RMUL,RMUL,581,安徽站,C组,2,南昌航空大学,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/40378f76-e8b9-4f0a-99b5-332f98d87f8e,洪鹰,2,1/0/1,3,36,4492,2813,"{""全队总伤害血量"": 4492, ""全队机器人总剩余血量"": 2813, ""总净胜胜利点"": 36, ""排名"": 2, ""积分"": 3, ""胜/平/负"": ""1/0/1""}"
2026,2026RMUL,RMUL,581,安徽站,C组,3,武汉生物工程学院,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/b658fd29-95c0-4655-9848-c92327f5ff27,lamb,3,0/0/2,0,-648,1161,2524,"{""全队总伤害血量"": 1161, ""全队机器人总剩余血量"": 2524, ""总净胜胜利点"": -648, ""排名"": 3, ""积分"": 0, ""胜/平/负"": ""0/0/2""}"
2026,2026RMUL,RMUL,581,安徽站,D组,1,江苏开放大学,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/e4bb7bfb-38ee-494d-a733-4729a481a70e,开拓者,1,2/0/0,6,780,9054,3592,"{""全队总伤害血量"": 9054, ""全队机器人总剩余血量"": 3592, ""总净胜胜利点"": 780, ""排名"": 1, ""积分"": 6, ""胜/平/负"": ""2/0/0""}"
2026,2026RMUL,RMUL,581,安徽站,D组,2,香港科技大学,https://terra-us-pro-rm-prod-pub-us.s3.amazonaws.com/da84bc27e35640e4b9feecd839639d57/b3b3847d-535c-47a4-bc43-b694cb2d7ca9,ENTERPRIZE,2,1/0/1,3,20,7212,2912,"{""全队总伤害血量"": 7212, ""全队机器人总剩余血量"": 2912, ""总净胜胜利点"": 20, ""排名"": 2, ""积分"": 3, ""胜/平/负"": ""1/0/1""}"
2026,2026RMUL,RMUL,581,安徽站,D组,3,江西工程学院,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/ebf462d3-67a4-410e-8997-907eec11eb9f,天启,3,0/0/2,0,-800,1260,2882,"{""全队总伤害血量"": 1260, ""全队机器人总剩余血量"": 2882, ""总净胜胜利点"": -800, ""排名"": 3, ""积分"": 0, ""胜/平/负"": ""0/0/2""}"
2026,2026RMUL,RMUL,581,安徽站,E组,1,中南大学,https://pro-robomasters-hz-n5i3.oss-cn-hangzhou.aliyuncs.com/teams/1525676967503-logo_blue_800x800.png,FYT,1,3/0/0,9,767,18628,3787,"{""全队总伤害血量"": 18628, ""全队机器人总剩余血量"": 3787, ""总净胜胜利点"": 767, ""排名"": 1, ""积分"": 9, ""胜/平/负"": ""3/0/0""}"
2026,2026RMUL,RMUL,581,安徽站,E组,2,武汉科技大学,https://hz-rm-bbs-web-prod.oss-cn-hangzhou.aliyuncs.com/884b768f5be84ed1aca7b8aeeeed61a71761836966818/1 标准标志.png,崇实,2,2/0/1,6,418,5801,4132,"{""全队总伤害血量"": 5801, ""全队机器人总剩余血量"": 4132, ""总净胜胜利点"": 418, ""排名"": 2, ""积分"": 6, ""胜/平/负"": ""2/0/1""}"
2026,2026RMUL,RMUL,581,安徽站,E组,3,阳光学院,https://hz-rm-bbs-web-prod.oss-cn-hangzhou.aliyuncs.com/58c02b5c314a4ba29fca9960bf59ff091762749945188/校徽.png,迹屿,3,1/0/2,3,-33,4870,4860,"{""全队总伤害血量"": 4870, ""全队机器人总剩余血量"": 4860, ""总净胜胜利点"": -33, ""排名"": 3, ""积分"": 3, ""胜/平/负"": ""1/0/2""}"
2026,2026RMUL,RMUL,581,安徽站,E组,4,安徽大学,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/e5ca0f5c-692b-4ddf-ac7e-473f21f9c80d,Supremacy,4,0/0/3,0,-1152,909,4228,"{""全队总伤害血量"": 909, ""全队机器人总剩余血量"": 4228, ""总净胜胜利点"": -1152, ""排名"": 4, ""积分"": 0, ""胜/平/负"": ""0/0/3""}"
2026,2026RMUL,RMUL,581,安徽站,F组,1,珠海科技学院,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/93950dc1-4e93-4a64-afac-e9c8dc03d4c0,征途Uprising,1,1/1/0,4,477,6558,2947,"{""全队总伤害血量"": 6558, ""全队机器人总剩余血量"": 2947, ""总净胜胜利点"": 477, ""排名"": 1, ""积分"": 4, ""胜/平/负"": ""1/1/0""}"
2026,2026RMUL,RMUL,581,安徽站,F组,2,安徽理工大学,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/f7a96439-26ca-4014-a332-4a4c5737d12f,鸿烈,2,0/2/0,2,-116,5733,2604,"{""全队总伤害血量"": 5733, ""全队机器人总剩余血量"": 2604, ""总净胜胜利点"": -116, ""排名"": 2, ""积分"": 2, ""胜/平/负"": ""0/2/0""}"
2026,2026RMUL,RMUL,581,安徽站,F组,3,安徽信息工程学院,https://pro-robomasters-hz-n5i3.oss-cn-hangzhou.aliyuncs.com/teams/1525668159005-logo_blue_800x800.png,Artisans,3,0/1/1,1,-361,3065,2175,"{""全队总伤害血量"": 3065, ""全队机器人总剩余血量"": 2175, ""总净胜胜利点"": -361, ""排名"": 3, ""积分"": 1, ""胜/平/负"": ""0/1/1""}"
2026,2026RMUL,RMUL,581,安徽站,G组,1,华中科技大学,https://pro-robomasters-hz-n5i3.oss-cn-hangzhou.aliyuncs.com/teams/1525675209294-logo_blue_800x800.png,狼牙,1,1/1/0,4,205,6680,3426,"{""全队总伤害血量"": 6680, ""全队机器人总剩余血量"": 3426, ""总净胜胜利点"": 205, ""排名"": 1, ""积分"": 4, ""胜/平/负"": ""1/1/0""}"
2026,2026RMUL,RMUL,581,安徽站,G组,2,湖北工业大学,https://pro-robomasters-hz-n5i3.oss-cn-hangzhou.aliyuncs.com/teams/1525667615591-logo_blue_800x800.png,力创RM,2,1/0/1,3,105,5806,2798,"{""全队总伤害血量"": 5806, ""全队机器人总剩余血量"": 2798, ""总净胜胜利点"": 105, ""排名"": 2, ""积分"": 3, ""胜/平/负"": ""1/0/1""}"
2026,2026RMUL,RMUL,581,安徽站,G组,3,湖南农业大学,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/c38f6a85-10cb-4058-9ac4-000848c56922,Together ,3,0/1/1,1,-310,5456,1392,"{""全队总伤害血量"": 5456, ""全队机器人总剩余血量"": 1392, ""总净胜胜利点"": -310, ""排名"": 3, ""积分"": 1, ""胜/平/负"": ""0/1/1""}"
2026,2026RMUL,RMUL,581,安徽站,H组,1,合肥工业大学,https://rm-static.djicdn.com/games-backend/6b928c7e-4ab6-48ab-8a5a-39836fd182c7,苍穹,1,1/1/0,4,522,4207,3670,"{""全队总伤害血量"": 4207, ""全队机器人总剩余血量"": 3670, ""总净胜胜利点"": 522, ""排名"": 1, ""积分"": 4, ""胜/平/负"": ""1/1/0""}"
2026,2026RMUL,RMUL,581,安徽站,H组,2,福州大学,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/e493fa1e-adae-4bf9-9ca8-9e524acd3b82,浮舟湿地,2,1/1/0,4,278,2233,3224,"{""全队总伤害血量"": 2233, ""全队机器人总剩余血量"": 3224, ""总净胜胜利点"": 278, ""排名"": 2, ""积分"": 4, ""胜/平/负"": ""1/1/0""}"
2026,2026RMUL,RMUL,581,安徽站,H组,3,常州机电职业技术学院,https://hz-rm-bbs-web-prod.oss-cn-hangzhou.aliyuncs.com/761409808b7e4af1b1bf4cec282bb82d1761741897334/微信图片_20251029201932_23_293.png,棠海电龙,3,0/0/2,0,-800,0,4400,"{""全队总伤害血量"": 0, ""全队机器人总剩余血量"": 4400, ""总净胜胜利点"": -800, ""排名"": 3, ""积分"": 0, ""胜/平/负"": ""0/0/2""}"
2026,2026RMUL,RMUL,582,华南站,A组,1,广东工业大学,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/257785f9-4ac3-4369-8e60-49ffe0b141e8,DynamicX,1,2/0/0,6,729,6916,3900,"{""全队总伤害血量"": 6916, ""全队机器人总剩余血量"": 3900, ""总净胜胜利点"": 729, ""排名"": 1, ""积分"": 6, ""胜/平/负"": ""2/0/0""}"
2026,2026RMUL,RMUL,582,华南站,A组,2,深圳信息职业技术大学,https://hz-rm-bbs-web-prod.oss-cn-hangzhou.aliyuncs.com/b3f80920b08b456aaf5b717a5fa8481e1772679483025/IMG_202603054967_800x800.png,撼龙,2,1/0/1,3,-191,3533,1376,"{""全队总伤害血量"": 3533, ""全队机器人总剩余血量"": 1376, ""总净胜胜利点"": -191, ""排名"": 2, ""积分"": 3, ""胜/平/负"": ""1/0/1""}"
2026,2026RMUL,RMUL,582,华南站,A组,3,惠州学院,https://terra-us-pro-rm-prod-pub-us.s3.amazonaws.com/da84bc27e35640e4b9feecd839639d57/f80fcacd-41b4-4a44-aac4-b7f2d7c43b8b,District 46,3,0/0/2,0,-538,3840,2278,"{""全队总伤害血量"": 3840, ""全队机器人总剩余血量"": 2278, ""总净胜胜利点"": -538, ""排名"": 3, ""积分"": 0, ""胜/平/负"": ""0/0/2""}"
2026,2026RMUL,RMUL,582,华南站,B组,1,广州航海学院,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/4b1cd184-22e5-4e62-b74c-b826d16415fe,ICBK破冰船,1,2/0/0,6,474,12036,2774,"{""全队总伤害血量"": 12036, ""全队机器人总剩余血量"": 2774, ""总净胜胜利点"": 474, ""排名"": 1, ""积分"": 6, ""胜/平/负"": ""2/0/0""}"
2026,2026RMUL,RMUL,582,华南站,B组,2,华南理工大学,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/b81c5a92-dc8f-479d-97b4-d531a39ce70b,华南虎,2,0/1/1,1,-140,7994,3226,"{""全队总伤害血量"": 7994, ""全队机器人总剩余血量"": 3226, ""总净胜胜利点"": -140, ""排名"": 2, ""积分"": 1, ""胜/平/负"": ""0/1/1""}"
2026,2026RMUL,RMUL,582,华南站,B组,3,北京理工大学（珠海）,https://hz-rm-bbs-web-prod.oss-cn-hangzhou.aliyuncs.com/fd9fe62ea89441c085a5b6d7efdf83c21772537363037/41aed6e0892b82b69ee0fbc471a8d3db.png,毅恒,3,0/1/1,1,-334,5166,1808,"{""全队总伤害血量"": 5166, ""全队机器人总剩余血量"": 1808, ""总净胜胜利点"": -334, ""排名"": 3, ""积分"": 1, ""胜/平/负"": ""0/1/1""}"
2026,2026RMUL,RMUL,582,华南站,C组,1,广东轻工职业技术大学,https://hz-rm-bbs-web-prod.oss-cn-hangzhou.aliyuncs.com/00fb0558415646ec97ad20ae7ca3bd021762222081970/标准标识-校徽.png,Inventor,1,1/1/0,4,376,5088,3812,"{""全队总伤害血量"": 5088, ""全队机器人总剩余血量"": 3812, ""总净胜胜利点"": 376, ""排名"": 1, ""积分"": 4, ""胜/平/负"": ""1/1/0""}"
2026,2026RMUL,RMUL,582,华南站,C组,2,哈尔滨工业大学（深圳）,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/e67c1d7c-25e6-4491-9f63-58c7bdba727e,南工骁鹰,2,1/1/0,4,54,6442,1708,"{""全队总伤害血量"": 6442, ""全队机器人总剩余血量"": 1708, ""总净胜胜利点"": 54, ""排名"": 2, ""积分"": 4, ""胜/平/负"": ""1/1/0""}"
2026,2026RMUL,RMUL,582,华南站,C组,3,广东海洋大学,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/4635e1c8-0428-4b25-9560-adaba197d770,浪潮,3,0/0/2,0,-430,2780,834,"{""全队总伤害血量"": 2780, ""全队机器人总剩余血量"": 834, ""总净胜胜利点"": -430, ""排名"": 3, ""积分"": 0, ""胜/平/负"": ""0/0/2""}"
2026,2026RMUL,RMUL,582,华南站,D组,1,华南农业大学,https://hz-rm-bbs-web-prod.oss-cn-hangzhou.aliyuncs.com/c8db6f26e28841fba220adc7710b07871762017323697/img_v3_02rk_5db0ce6e-139d-4242-ac48-5a2a0e25056g.png,Taurus,1,2/0/0,6,735,8129,3338,"{""全队总伤害血量"": 8129, ""全队机器人总剩余血量"": 3338, ""总净胜胜利点"": 735, ""排名"": 1, ""积分"": 6, ""胜/平/负"": ""2/0/0""}"
2026,2026RMUL,RMUL,582,华南站,D组,2,广东交通职业技术学院,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/51edbdc5-af8a-460f-bedf-e6dd618f8346,擎天,2,1/0/1,3,-132,4336,2061,"{""全队总伤害血量"": 4336, ""全队机器人总剩余血量"": 2061, ""总净胜胜利点"": -132, ""排名"": 2, ""积分"": 3, ""胜/平/负"": ""1/0/1""}"
2026,2026RMUL,RMUL,582,华南站,D组,3,广州南方学院,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/ba5c9354-6a31-45dd-b0bb-d3cbc090236c,南風,3,0/0/2,0,-603,300,2390,"{""全队总伤害血量"": 300, ""全队机器人总剩余血量"": 2390, ""总净胜胜利点"": -603, ""排名"": 3, ""积分"": 0, ""胜/平/负"": ""0/0/2""}"
2026,2026RMUL,RMUL,582,华南站,E组,1,佛山大学,https://hz-rm-bbs-web-prod.oss-cn-hangzhou.aliyuncs.com/12af8ff6ddcf485aaee6e967a09db4c51772771556030/8c88f498-f507-46b6-b4fa-c4e0da189364.png,醒狮,1,2/0/0,6,776,13153,3648,"{""全队总伤害血量"": 13153, ""全队机器人总剩余血量"": 3648, ""总净胜胜利点"": 776, ""排名"": 1, ""积分"": 6, ""胜/平/负"": ""2/0/0""}"
2026,2026RMUL,RMUL,582,华南站,E组,2,南方科技大学,https://pro-robomasters-hz-n5i3.oss-cn-hangzhou.aliyuncs.com/teams/1525665910623-logo_orange_800x800.png,ARTINX,2,1/0/1,3,-42,2880,2172,"{""全队总伤害血量"": 2880, ""全队机器人总剩余血量"": 2172, ""总净胜胜利点"": -42, ""排名"": 2, ""积分"": 3, ""胜/平/负"": ""1/0/1""}"
2026,2026RMUL,RMUL,582,华南站,E组,3,广州大学,https://hz-rm-bbs-web-prod.oss-cn-hangzhou.aliyuncs.com/a776473aa2ad4fcca6bac0e85fa09d6f1772716415500/gzhu-800x800.png,庆园阁,3,0/0/2,0,-734,1951,3184,"{""全队总伤害血量"": 1951, ""全队机器人总剩余血量"": 3184, ""总净胜胜利点"": -734, ""排名"": 3, ""积分"": 0, ""胜/平/负"": ""0/0/2""}"
2026,2026RMUL,RMUL,582,华南站,F组,1,广州城市理工学院,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/9365936c-3c07-449d-8e0e-2ed9e050e0f3,野狼,1,2/0/0,6,738,9718,3120,"{""全队总伤害血量"": 9718, ""全队机器人总剩余血量"": 3120, ""总净胜胜利点"": 738, ""排名"": 1, ""积分"": 6, ""胜/平/负"": ""2/0/0""}"
2026,2026RMUL,RMUL,582,华南站,F组,2,深圳大学,https://pro-robomasters-hz-n5i3.oss-cn-hangzhou.aliyuncs.com/teams/1525667668942-logo_red_800x800.png,RobotPilots,2,1/0/1,3,-340,4959,1915,"{""全队总伤害血量"": 4959, ""全队机器人总剩余血量"": 1915, ""总净胜胜利点"": -340, ""排名"": 2, ""积分"": 3, ""胜/平/负"": ""1/0/1""}"
2026,2026RMUL,RMUL,582,华南站,F组,3,深圳职业技术大学,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/c4e80f93-0bbb-49b4-b391-0b6671351c1b,RCIA,3,0/0/2,0,-398,6648,1736,"{""全队总伤害血量"": 6648, ""全队机器人总剩余血量"": 1736, ""总净胜胜利点"": -398, ""排名"": 3, ""积分"": 0, ""胜/平/负"": ""0/0/2""}"
2026,2026RMUL,RMUL,582,华南站,G组,1,五邑大学,https://pro-robomasters-hz-n5i3.oss-cn-hangzhou.aliyuncs.com/teams/1525678640816-logo_glod_800x800.png,IMCA,1,2/0/0,6,786,5965,3838,"{""全队总伤害血量"": 5965, ""全队机器人总剩余血量"": 3838, ""总净胜胜利点"": 786, ""排名"": 1, ""积分"": 6, ""胜/平/负"": ""2/0/0""}"
2026,2026RMUL,RMUL,582,华南站,G组,2,深圳技术大学,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/d6d0f220-ef43-4e8b-9805-bf5d2e516b06,悍匠,2,1/0/1,3,12,4141,2960,"{""全队总伤害血量"": 4141, ""全队机器人总剩余血量"": 2960, ""总净胜胜利点"": 12, ""排名"": 2, ""积分"": 3, ""胜/平/负"": ""1/0/1""}"
2026,2026RMUL,RMUL,582,华南站,G组,3,海南大学,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/144627fb-8595-46ef-a4ed-68d0a340f7a4,南海鲨,3,0/0/2,0,-798,1960,3112,"{""全队总伤害血量"": 1960, ""全队机器人总剩余血量"": 3112, ""总净胜胜利点"": -798, ""排名"": 3, ""积分"": 0, ""胜/平/负"": ""0/0/2""}"
2026,2026RMUL,RMUL,582,华南站,H组,1,东莞理工学院,https://rm-static.djicdn.com/games-backend/ef8c032e-9c30-467d-afc0-81ee5475cfe3,ACE,1,2/0/0,6,697,18958,3272,"{""全队总伤害血量"": 18958, ""全队机器人总剩余血量"": 3272, ""总净胜胜利点"": 697, ""排名"": 1, ""积分"": 6, ""胜/平/负"": ""2/0/0""}"
2026,2026RMUL,RMUL,582,华南站,H组,2,电子科技大学中山学院,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/6784aac0-42fc-4ffd-9e1c-cc27427022e3,RoboBraver,2,1/0/1,3,-20,7008,2796,"{""全队总伤害血量"": 7008, ""全队机器人总剩余血量"": 2796, ""总净胜胜利点"": -20, ""排名"": 2, ""积分"": 3, ""胜/平/负"": ""1/0/1""}"
2026,2026RMUL,RMUL,582,华南站,H组,3,华南师范大学,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/fd62886a-35c8-43d9-a0dc-d941a1dcc554,PIONEER,3,0/0/2,0,-677,1660,2810,"{""全队总伤害血量"": 1660, ""全队机器人总剩余血量"": 2810, ""总净胜胜利点"": -677, ""排名"": 3, ""积分"": 0, ""胜/平/负"": ""0/0/2""}"
2026,2026RMUL,RMUL,583,山东站,A组,1,河北科技大学,https://pro-robomasters-hz-n5i3.oss-cn-hangzhou.aliyuncs.com/teams/1525678437924-logo_blue_800x800.png,Actor&Thinker,1,2/1/0,7,455,10600,4987,"{""全队总伤害血量"": 10600, ""全队机器人总剩余血量"": 4987, ""总净胜胜利点"": 455, ""排名"": 1, ""积分"": 7, ""胜/平/负"": ""2/1/0""}"
2026,2026RMUL,RMUL,583,山东站,A组,2,山东理工大学,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/cd7bb6a9-f1cf-4f8d-9275-0f919de56a07,齐奇,2,1/2/0,5,427,12787,5112,"{""全队总伤害血量"": 12787, ""全队机器人总剩余血量"": 5112, ""总净胜胜利点"": 427, ""排名"": 2, ""积分"": 5, ""胜/平/负"": ""1/2/0""}"
